	Year	Biomass	Geothermal	Hydro	Photovoltaic	Wind	date
1	2019	1.3466667	0.67	2.795	1.41125	3.8070833	01/01/2019
2	2019	1.6295833	0.6679167	3.3983333	1.27625	3.4345833	02/01/2019
3	2019	1.7908333	0.6766667	3.1654167	1.52875	5.5479167	03/01/2019
4	2019	1.86875	0.6733333	3.6666667	1.4808333	4.2666667	04/01/2019
5	2019	1.70125	0.66875	3.3866667	1.2308333	3.3416667	05/01/2019
6	2019	1.5345833	0.66875	2.82625	1.6379167	2.43	06/01/2019
7	2019	2.1383333	0.6645833	4.1183333	1.5341667	2.65125	07/01/2019
8	2019	2.27375	0.67	4.7558333	0.93375	2.9704167	08/01/2019
9	2019	2.1829167	0.67	3.435	0.8045833	4.0454167	09/01/2019
10	2019	2.2595833	0.6716667	3.8408333	1.3858333	3.96875	10/01/2019
11	2019	2.335	0.67	3.6416667	1.6254167	1.8291667	11/01/2019
12	2019	1.9170833	0.6704167	2.9829167	1.6795833	4.1195833	12/01/2019
13	2019	1.69625	0.67	2.8304167	1.32125	3.0641667	13/01/2019
14	2019	2.0570833	0.6608333	4.0229167	1.38375	4.5870833	14/01/2019
15	2019	2.20625	0.66875	3.98125	2.1754167	3.1833333	15/01/2019
16	2019	2.2745833	0.6579167	3.9066667	1.8841667	2.4825	16/01/2019
17	2019	2.2891667	0.66	3.78875	1.1125	2.4441667	17/01/2019
18	2019	2.2941667	0.6595833	3.9141667	1.2754167	2.61	18/01/2019
19	2019	2.0320833	0.6679167	3.3904167	1.0158333	0.7770833	19/01/2019
20	2019	1.8283333	0.6666667	2.6895833	1.2216667	0.3979167	20/01/2019
21	2019	2.2958333	0.67	4.5	0.7883333	1.3804167	21/01/2019
22	2019	2.3745833	0.67	4.4579167	0.9433333	2.6825	22/01/2019
23	2019	2.37875	0.67	4.995	1.0120833	1.96375	23/01/2019
24	2019	2.5	0.67	5.6079167	1.1833333	2.9304167	24/01/2019
25	2019	2.2383333	0.6695833	3.7454167	1.7320833	4.99125	25/01/2019
26	2019	1.8470833	0.66625	3.1229167	1.7675	4.2304167	26/01/2019
27	2019	1.6616667	0.6583333	2.7779167	1.0829167	3.4208333	27/01/2019
28	2019	2.06	0.66	3.8275	1.3195833	4.8079167	28/01/2019
29	2019	2.21375	0.6566667	3.8404167	2.08125	1.0816667	29/01/2019
30	2019	2.2883333	0.6633333	3.6991667	0.96	2.5275	30/01/2019
31	2019	2.1658333	0.6641667	4.0983333	1.5458333	4.2179167	31/01/2019
32	2019	2.3908333	0.6475	4.2183333	0.59375	5.1095833	01/02/2019
