Year;Biomass;Geothermal;Hydro;Photovoltaic;Wind;date
2021;13679167;6045833;39716667;845;306625;01/01/2021
2021;17341667;61875;44954167;6370833;45429167;02/01/2021
2021;15816667;62;41925;9758333;3245;03/01/2021
2021;1705;62;57425;10754167;1835;04/01/2021
2021;16995833;6195833;5795;75625;34045833;05/01/2021
2021;15754167;62;49625;9070833;31725;06/01/2021
2021;22841667;62;63279167;7129167;13904167;07/01/2021
2021;23820833;62;59733333;12575;20666667;08/01/2021
2021;198;6204167;47491667;5308333;26825;09/01/2021
2021;17808333;6204167;392375;4541667;22745833;10/01/2021
2021;21445833;6254167;53070833;13470833;15083333;11/01/2021
2021;22904167;6241667;50129167;17754167;204375;12/01/2021
2021;23870833;6133333;56529167;21858333;362625;13/01/2021
2021;239375;615;567;19170833;46675;14/01/2021
2021;235625;62;553;8904167;259;15/01/2021
2021;210875;6279167;45158333;20179167;402125;16/01/2021
2021;19291667;6291667;38783333;8645833;26770833;17/01/2021
2021;24233333;6291667;52566667;18854167;27979167;18/01/2021
2021;24829167;6241667;48833333;163;20383333;19/01/2021
2021;24741667;6204167;44995833;11816667;34883333;20/01/2021
2021;25870833;6175;47083333;7879167;40641667;21/01/2021
2021;233875;6308333;514;6279167;58216667;22/01/2021
2021;19433333;6379167;45704167;11083333;67295833;23/01/2021
2021;17720833;64;448875;73625;59533333;24/01/2021
2021;21429167;6358333;58929167;12216667;56083333;25/01/2021
2021;23033333;6183333;58079167;25625;538;26/01/2021
2021;23641667;6291667;55591667;17375;2235;27/01/2021
2021;22195833;6333333;54941667;18025;29716667;28/01/2021
2021;234375;6383333;553125;10383333;578125;29/01/2021
2021;19508333;6370833;43504167;194375;44583333;30/01/2021
2021;17629167;6445833;41316667;9425;48970833;31/01/2021
2021;24058333;65;57920833;12454167;26925;01/02/2021
2021;241625;6441667;51779167;200125;13833333;02/02/2021
2021;22658333;63875;55191667;14470833;32316667;03/02/2021
2021;24429167;63875;54891667;13583333;23866667;04/02/2021
2021;24329167;6454167;60904167;15704167;176375;05/02/2021
2021;19720833;64375;46416667;15604167;235875;06/02/2021
2021;161875;6433333;366625;62375;42358333;07/02/2021
2021;20625;6358333;560375;21766667;58695833;08/02/2021
2021;20566667;63;613875;14629167;593375;09/02/2021
2021;2095;6420833;65591667;11691667;5595;10/02/2021
2021;21383333;63875;711875;26554167;36795833;11/02/2021
2021;21533333;64375;63154167;11508333;11595833;12/02/2021
2021;17354167;6333333;52716667;15320833;34375;13/02/2021
2021;15358333;61625;43004167;29670833;55429167;14/02/2021
2021;21079167;62375;57566667;31566667;41525;15/02/2021
2021;23116667;62;58091667;246;19516667;16/02/2021
2021;23941667;6195833;58566667;20304167;15179167;17/02/2021
2021;23783333;6191667;55154167;231375;4779167;18/02/2021
2021;21229167;63;54983333;21083333;11391667;19/02/2021
2021;15845833;6304167;43775;25016667;7133333;20/02/2021
2021;146375;6316667;36366667;24066667;134375;21/02/2021
2021;19929167;6345833;48383333;211875;12891667;22/02/2021
2021;20766667;6395833;494125;282375;13245833;23/02/2021
2021;20220833;6333333;46908333;32775;22054167;24/02/2021
2021;22341667;64;53416667;33095833;6720833;25/02/2021
2021;22141667;6358333;52775;32295833;2525;26/02/2021
2021;16595833;64375;42775;284875;13091667;27/02/2021
2021;14941667;64;35129167;34533333;33270833;28/02/2021
2021;21791667;6345833;5025;36629167;19725;01/03/2021
2021;23729167;6316667;495875;36025;1665;02/03/2021
2021;242625;63875;4985;33175;5233333;03/03/2021
2021;23679167;6391667;46945833;31675;1465;04/03/2021
2021;23704167;64;45979167;23941667;14854167;05/03/2021
2021;18270833;6445833;42670833;243;135625;06/03/2021
2021;17254167;6458333;38158333;28016667;9020833;07/03/2021
2021;20875;63625;50041667;21466667;7866667;08/03/2021
2021;21675;6391667;505125;23425;13204167;09/03/2021
2021;24358333;6404167;43429167;33204167;43066667;10/03/2021
2021;23908333;64375;48270833;27691667;37475;11/03/2021
2021;23245833;64;48304167;21033333;499;12/03/2021
2021;18366667;64;410125;33375;364125;13/03/2021
2021;19325;6433333;34820833;273875;51495833;14/03/2021
2021;22045833;6404167;4215;33916667;488;15/03/2021
2021;25929167;63125;46066667;33479167;25829167;16/03/2021
2021;24429167;64;44379167;365;23825;17/03/2021
2021;22708333;64625;45745833;30058333;13104167;18/03/2021
2021;22416667;6491667;44504167;32308333;93875;19/03/2021
2021;17875;65;38120833;26804167;24279167;20/03/2021
2021;182125;65;32658333;29683333;48816667;21/03/2021
2021;207375;6458333;40741667;35825;53766667;22/03/2021
2021;22125;6433333;405875;377;55670833;23/03/2021
2021;22316667;64;39395833;39370833;358625;24/03/2021
2021;20933333;63;40495833;407625;179375;25/03/2021
2021;197;63;40808333;394;11625;26/03/2021
2021;17433333;63;35945833;27125;204;27/03/2021
2021;1766087;63;35430435;39969565;4182609;28/03/2021
2021;21175;63;40066667;40016667;96875;29/03/2021
2021;22525;6320833;41070833;4315;23891667;30/03/2021
2021;219625;63875;43825;43166667;12491667;31/03/2021
